date,ticker,portfolio_weight,benchmark_weight,active_weight,side
2026-05-22,TSLA,0.01726498005665461,0.03452683297514921,-0.0172618529184946,UW
2026-05-22,ORCL,0.003968484583246374,0.011921235590582422,-0.007952751007336048,UW
2026-05-22,WMT,0.013969956314444207,0.020687732833485444,-0.006717776519041237,UW
2026-05-22,XOM,0.007473542807383548,0.013857018050808249,-0.006383475243424701,UW
2026-05-22,JNJ,0.006664601701780257,0.01217320561984378,-0.005508603918063523,UW
2026-05-22,META,0.02829786526751525,0.0334289123506307,-0.005131047083115452,UW
2026-05-22,CSCO,0.0055774018465678254,0.01024142016678629,-0.004664018320218465,UW
2026-05-22,BAC,0.0037485382234132237,0.00793273250915887,-0.0041841942857456455,UW
2026-05-22,MSFT,0.06369997670804839,0.06709786539644888,-0.003397888688400491,UW
2026-05-22,CAT,0.005592739963587487,0.008745568626309196,-0.003152828662721709,UW
2026-05-22,INTC,0.009997732068418246,0.012997732068418246,-0.003000000000000001,UW
2026-05-22,LIN,0.0024524470971293523,0.005166851474791925,-0.0027144043776625723,UW
2026-05-22,GS,0.003991141004083097,0.006593794004954967,-0.00260265300087187,UW
2026-05-22,MCD,0.00216849215278026,0.004327884703382511,-0.002159392550602251,UW
2026-05-22,GOOGL,0.09768171481980428,0.09967565132689159,-0.0019939365070873044,UW
2026-05-22,AAPL,0.09592163237601307,0.097879633830751,-0.0019580014547379287,UW
2026-05-22,WFC,0.0031292769644073078,0.005045276521284191,-0.001915999556876883,UW
2026-05-22,NEE,0.0023076550865044057,0.003984823024561144,-0.0016771679380567384,UW
2026-05-22,AMZN,0.06058520663527852,0.06182194504280295,-0.001236738407524432,UW
2026-05-22,GLW,0.002481464812249775,0.0035971422113626698,-0.0011156773991128949,UW
2026-05-22,NFLX,0.006936334462761672,0.008050845271240357,-0.0011145108084786859,UW
2026-05-22,AMAT,0.006346716933223112,0.007404336946989377,-0.0010576200137662646,UW
2026-05-22,TER,0.00016656215721259126,0.0012108520782939801,-0.0010442899210813888,UW
2026-05-22,UNP,0.002384584327280795,0.003406478718255764,-0.0010218943909749692,UW
2026-05-22,COST,0.008867723753942989,0.009844207570816367,-0.0009764838168733782,UW
2026-05-22,ETN,0.002323272597688487,0.003279261304806427,-0.0009559887071179398,UW
2026-05-22,PLD,0.0020882905687473106,0.0030086072087650707,-0.0009203166400177602,UW
2026-05-22,TSM,0.0443691490215551,0.04527496123456866,-0.0009058122130135571,UW
2026-05-22,EQIX,0.001398178322415992,0.00229808612899993,-0.000899907806583938,UW
2026-05-22,HON,0.002220933144046291,0.0031165730358156444,-0.0008956398917693534,UW
2026-05-22,DE,0.002190612139041502,0.003084312606878027,-0.000893700467836525,UW
2026-05-22,FCX,0.0010307052436071705,0.0019230513060772211,-0.0008923460624700506,UW
2026-05-22,JPM,0.01682420365732653,0.01771574088288575,-0.0008915372255592219,UW
2026-05-22,ABBV,0.007375323222640584,0.008223923593140637,-0.0008486003705000522,UW
2026-05-22,MPWR,0.0009213605896739417,0.0016855253329207955,-0.0007641647432468538,UW
2026-05-22,MPC,0.0008599728564935291,0.0016042630250138322,-0.0007442901685203032,UW
2026-05-22,UNH,0.006914896953082533,0.00761299759167265,-0.0006981006385901167,UW
2026-05-22,REGN,0.0008166296874548524,0.001445391815262122,-0.0006287621278072696,UW
2026-05-22,FN,8.898002353421947e-06,0.00054421842062044,-0.0005353204182670181,UW
2026-05-22,PANW,0.004177163150613298,0.004588540129160402,-0.0004113769785471042,UW
2026-05-22,AMT,0.0014812008382562329,0.0018483881657318179,-0.000367187327475585,UW
2026-05-22,BLK,0.003434476119579429,0.0037873661281133666,-0.0003528900085339377,UW
2026-05-22,LNG,0.0007486417698792721,0.001089134418922545,-0.00034049264904327287,UW
2026-05-22,AVGO,0.042117708595210454,0.042313604547977786,-0.0001958959527673318,UW
2026-05-22,PG,0.007062252037516934,0.00725814229069425,-0.00019589025317731656,UW
2026-05-22,TMUS,0.0042756127700616835,0.004471502270458232,-0.0001958895003965483,UW
